Disease,Symptom1,Symptom2,Symptom3,Symptom4
Cyst of the eyelid,Mass on eyelid,Skin growth,Eyelid lesion or rash,Pain in eye
Balanitis,Penis redness,Penis pain,Diaper rash,Skin rash
Foreign body in the throat,Difficulty in swallowing,Vomiting,Sore throat,Cough
Drug abuse (cocaine),Drug abuse,Abusing alcohol,Depressive or psychotic symptoms,Depression
Optic neuritis,Diminished vision,Blindness,Headache,Spots or clouds in vision
Alcohol withdrawal,Abusing alcohol,Seizures,Abnormal involuntary movements,Nausea
Premature atrial contractions (PACs),Palpitations,Irregular heartbeat,Sharp chest pain,Shortness of breath
Hemiplegia,Seizures,Headache,Weakness,Focal weakness
Hammer toe,Foot or toe pain,Loss of sensation,Skin lesion,Foot or toe swelling
Open wound of the cheek,Facial pain,Wrist pain,Fluid retention,Jaw swelling
Joint effusion,Knee pain,Knee swelling,Ankle pain,Ankle swelling
Open wound of the knee,Leg pain,Leg swelling,Skin on leg or foot looks infected,Open wound of the knee 	 	 		Open wound of the knee is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
Meningioma,Headache,Disturbance of memory,Weakness,Seizures
Brain cancer,Headache,Seizures,Weakness,Focal weakness
Placental abruption,Spotting or bleeding during pregnancy,Uterine contractions,Nausea,Lower abdominal pain
Seasonal allergies (hay fever),Nasal congestion,Cough,Allergic reaction,Sore throat
Lung cancer,Shortness of breath,Cough,Fatigue,Decreased appetite
Primary kidney disease,Peripheral edema,Symptoms of the kidneys,Blood in urine,Impotence
Uterine cancer,Vaginal bleeding after menopause,Pelvic pain,Hot flashes,Focal weakness
Dry eye of unknown cause,Symptoms of eye,Diminished vision,Pain in eye,Lacrimation
Fibrocystic breast disease,Lump or mass of breast,Pain or soreness of breast,Bleeding or discharge from nipple,Long menstrual periods
Fungal infection of the hair,Skin rash,Skin swelling,Skin lesion,Abnormal appearing skin
Tooth abscess,Toothache,Peripheral edema,Facial pain,Jaw swelling
Leptospirosis,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Envenomation from spider or animal bite,Allergic reaction,Skin rash,Itching of skin,Hand or finger swelling
VACTERL syndrome,Lower abdominal pain,Regurgitation,Suprapubic pain,Excessive growth
Vertebrobasilar insufficiency,Dizziness,Problems with movement,Weakness,Back pain
Rectal disorder,Rectal bleeding,Blood in stool,Pain of the anus,Sharp abdominal pain
Atonic bladder,Symptoms of bladder,Retention of urine,Involuntary urination,Impotence
Benign paroxysmal positional vertical (BPPV),Dizziness,Nausea,Vomiting,Headache
Blepharospasm,Abnormal movement of eyelid,Diminished vision,Eye moves abnormally,Leg weakness
Sarcoidosis,Cough,Shortness of breath,Fatigue,Sharp chest pain
Metastatic cancer,Fatigue,Decreased appetite,Focal weakness,Neck mass
Trigger finger (finger disorder),Hand or finger pain,Hand or finger stiffness or tightness,Wrist pain,Hand or finger cramps or spasms
Stye,Pain in eye,Swollen eye,Eye redness,Eyelid swelling
Hemochromatosis,Ache all over,Abnormal appearing skin,Pain in testicles,Recent weight loss
Osteochondroma,Knee pain,Foot or toe pain,Skin growth,Shoulder pain
Cushing syndrome,Decreased heart rate,Weight gain,Shoulder pain,Nailbiting
Typhoid fever,Fever,Shoulder cramps or spasms,Excessive anger,Ankle pain
Vitreous degeneration,Spots or clouds in vision,Diminished vision,Symptoms of eye,Pain in eye
Atrophic skin condition,Skin growth,Wrinkles on skin,Abnormal appearing skin,Skin lesion
Aspergillosis,Sharp abdominal pain,Diminished hearing,Vomiting blood,Shortness of breath
Uterine atony,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Intermenstrual bleeding
Trichinosis,Painful urination,Sharp abdominal pain,Skin rash,Nasal congestion
Whooping cough,Cough,Fever,Shortness of breath,Vomiting
Pick disease,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Open wound of the lip,Lip swelling,Facial pain,Mouth pain,Dry lips
Subacute thyroiditis,Problems during pregnancy,Pain during pregnancy,Uterine contractions,Sweating
Oral mucosal lesion,Toothache,Mouth pain,Mouth ulcer,Sore throat
Open wound due to trauma,Skin on arm or hand looks infected,Wrist swelling,Shoulder stiffness or tightness,Open wound due to trauma 	 	 		Open wound due to trauma is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
Intracerebral hemorrhage,Headache,Dizziness,Weakness,Focal weakness
Alzheimer disease,Disturbance of memory,Depressive or psychotic symptoms,Depression,Problems with movement
Vaginismus,Pain during intercourse,Pelvic pain,Vaginal pain,Sharp abdominal pain
Systemic lupus erythematosis (SLE),Sharp chest pain,Ache all over,Joint pain,Knee pain
Premature ovarian failure,Infertility,Unpredictable menstruation,Absence of menstruation,Pelvic pain
Thoracic outlet syndrome,Neck pain,Arm pain,Shoulder pain,Loss of sensation
Ganglion cyst,Knee pain,Leg pain,Wrist pain,Skin growth
Dislocation of the knee,Knee pain,Shoulder pain,Knee swelling,Joint pain
Crohn disease,Sharp abdominal pain,Diarrhea,Vomiting,Nausea
Postoperative infection,Fever,Abnormal appearing skin,Sharp abdominal pain,Skin on leg or foot looks infected
Folate deficiency,Shortness of breath,Sharp chest pain,Sharp abdominal pain,Weakness
Fluid overload,Shortness of breath,Peripheral edema,Sharp abdominal pain,Fluid retention
Atrial flutter,Irregular heartbeat,Increased heart rate,Palpitations,Shortness of breath
Skin disorder,Skin lesion,Abnormal appearing skin,Skin rash,Skin moles
Floaters,Spots or clouds in vision,Diminished vision,Lacrimation,Pain in eye
Tooth disorder,Toothache,Facial pain,Gum pain,Ear pain
Heart attack,Sharp chest pain,Shortness of breath,Chest tightness,Nausea
Open wound of the abdomen,Sharp abdominal pain,Irregular belly button,Sweating,Swollen abdomen
Fracture of the leg,Hip pain,Leg pain,Knee pain,Ankle pain
Oral thrush (yeast infection),Fever,Nasal congestion,Cough,Skin rash
Pityriasis rosea,Skin rash,Itching of skin,Abnormal appearing skin,Skin swelling
Allergy to animals,Nasal congestion,Allergic reaction,Itchiness of eye,Cough
Orthostatic hypotension,Dizziness,Fainting,Weakness,Headache
Obstructive sleep apnea (OSA),Abnormal breathing sounds,Apnea,Sleepiness,Difficulty breathing
Hypokalemia,Vomiting,Nausea,Sharp abdominal pain,Dizziness
Psoriasis,Skin rash,Itching of skin,Skin dryness,scaliness
Dislocation of the shoulder,Shoulder pain,Arm pain,Wrist pain,Shoulder stiffness or tightness
Intussusception,Sharp abdominal pain,Vomiting,Diarrhea,Regurgitation
Cervicitis,Sharp abdominal pain,Vaginal discharge,Pelvic pain,Painful urination
Abscess of the pharynx,Sore throat,Fever,Nasal congestion,Cough
Primary thrombocythemia,Dizziness,Fatigue,Sweating,Flatulence
Arthritis of the hip,Hip pain,Leg pain,Low back pain,Back pain
Decubitus ulcer,Skin lesion,Difficulty speaking,Skin on leg or foot looks infected,Skin pain
Hypernatremia,Weakness,Difficulty breathing,Fever,Fluid retention
Sensorineural hearing loss,Diminished hearing,Plugged feeling in ear,Ringing in ear,Dizziness
Chronic ulcer,Skin lesion,Skin on leg or foot looks infected,Skin pain,Chronic ulcer 	 Also known as Chronic Skin Ulcer 	 		 	An ulcer is a discontinuity or break in a bodily membrane that impedes the organ of which that membrane is a part from continuing its normal functions. Common forms of ulcers recognized in medicine include: 		 Source: Wikipedia
Osteoporosis,Back pain,Hip pain,Joint pain,Bones are painful
Ileus,Sharp abdominal pain,Vomiting,Nausea,Diarrhea
Sickle cell crisis,Ache all over,Leg pain,Back pain,Sharp chest pain
Urethritis,Painful urination,Penile discharge,Frequent urination,Sharp abdominal pain
Prostatitis,Painful urination,Frequent urination,Retention of urine,Pain in testicles
Otitis externa (swimmer's ear),Ear pain,Fluid in ear,Redness in ear,Plugged feeling in ear
Poisoning due to anticonvulsants,Problems with movement,Seizures,Dizziness,Vomiting
Testicular torsion,Pain in testicles,Symptoms of the scrotum and testes,Swelling of scrotum,Sharp abdominal pain
Tricuspid valve disease,Anxiety and nervousness,Drainage in throat,Back pain,Excessive growth
Urethral stricture,Retention of urine,Painful urination,Frequent urination,Suprapubic pain
Vitamin D deficiency,Fatigue,Joint pain,Hot flashes,Weight gain
Hydatidiform mole,Spotting or bleeding during pregnancy,Pain during pregnancy,Problems during pregnancy,Sharp abdominal pain
Pain disorder affecting the neck,Neck pain,Headache,Back pain,Loss of sensation
Tuberculosis,Cough,Shortness of breath,Sweating,Congestion in chest
Pelvic fistula,Vaginal discharge,Dizziness,Rectal bleeding,Back pain
Acute bronchiolitis,Cough,Fever,Nasal congestion,Wheezing
Presbyopia,Diminished vision,Symptoms of eye,Spots or clouds in vision,Itchiness of eye
Dementia,Disturbance of memory,Problems with movement,Dizziness,Depressive or psychotic symptoms
Insect bite,Skin rash,Abnormal appearing skin,Itching of skin,Skin swelling
Paroxysmal ventricular tachycardia,Shortness of breath,Sharp chest pain,Dizziness,Palpitations
Congenital heart defect,Sharp chest pain,Lack of growth,Lymphedema,Arm swelling
Connective tissue disorder,Joint pain,Skin rash,Fatigue,Foot or toe pain
Foreign body in the eye,Pain in eye,Eye redness,Foreign body sensation in eye,Eye burns or stings
Poisoning due to gas,Shortness of breath,Cough,Nausea,Headache
Pyogenic skin infection,Abnormal appearing skin,Skin lesion,Leg pain,Skin rash
Endometrial hyperplasia,Vaginal bleeding after menopause,Heavy menstrual flow,Unpredictable menstruation,Involuntary urination
Acanthosis nigricans,Weight gain,Skin lesion,Allergic reaction,Acne or pimples
Central atherosclerosis,Shortness of breath,Fatigue,Blood in urine,Excessive urination at night
Viral exanthem,Skin rash,Fever,Cough,Nasal congestion
Blastomycosis,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Noninfectious gastroenteritis,Vomiting,Diarrhea,Nausea,Sharp abdominal pain
Benign prostatic hyperplasia (BPH),Retention of urine,Symptoms of prostate,Frequent urination,Blood in urine
Menopause,Hot flashes,Unpredictable menstruation,Sweating,Pelvic pain
Primary immunodeficiency,Fatigue,Cough,Frontal headache,Painful sinuses
Ovarian cancer,Sharp abdominal pain,Decreased appetite,Fluid retention,Regurgitation
Cataract,Diminished vision,Spots or clouds in vision,Symptoms of eye,Pain in eye
Dislocation of the hip,Hip pain,Knee pain,Leg pain,Back pain
Spinal stenosis,Neck pain,Back pain,Low back pain,Shoulder pain
Intestinal obstruction,Constipation,Sharp abdominal pain,Nausea,Diarrhea
Heart contusion,Apnea,Sharp chest pain,Depression,Fainting
Congenital malformation syndrome,Lack of growth,Seizures,Gum pain,Diminished hearing
Sporotrichosis,Knee pain,Knee swelling,Shoulder cramps or spasms,Ankle pain
Lymphangitis,Skin on arm or hand looks infected,Neck swelling,Skin on leg or foot looks infected,Skin on head or neck looks infected
Wernicke Korsakoff syndrome,Depressive or psychotic symptoms,Abusing alcohol,Delusions or hallucinations,Leg pain
Intestinal disease,Sharp abdominal pain,Vomiting,Diarrhea,Regurgitation
Acute bronchitis,Cough,Nasal congestion,Fever,Sore throat
Persistent vomiting of unknown cause,Vomiting,Nausea,Sharp abdominal pain,Diarrhea
Open wound of the foot,Foot or toe pain,Skin lesion,Foot or toe swelling,Skin on leg or foot looks infected
Myocarditis,Palpitations,Ache all over,Cough,Chest tightness
Preeclampsia,Headache,Pain during pregnancy,Problems during pregnancy,Sharp abdominal pain
Ischemic heart disease,Sharp chest pain,Shortness of breath,Difficulty breathing,Palpitations
Neurofibromatosis,Headache,Abnormal appearing skin,Abnormal involuntary movements,Diminished hearing
Chickenpox,Skin rash,Fever,Abnormal appearing skin,Itching of skin
Pancreatic cancer,Sharp abdominal pain,Nausea,Ache all over,Fatigue
Neuropathy due to drugs,Loss of sensation,Foot or toe pain,Paresthesia,Problems with movement
Croup,Cough,Fever,Difficulty breathing,Nasal congestion
Idiopathic excessive menstruation,Heavy menstrual flow,Unpredictable menstruation,Pelvic pain,Sharp abdominal pain
Amblyopia,Diminished vision,Eye deviation,Pain in eye,Foreign body sensation in eye
Meckel diverticulum,Upper abdominal pain,Lower abdominal pain,Knee lump or mass,Excessive growth
Dislocation of the wrist,Arm pain,Elbow pain,Hand or finger swelling,Hand or finger pain
Ear drum damage,Ear pain,Diminished hearing,Fluid in ear,Redness in ear
Erectile dysfunction,Impotence,Retention of urine,Symptoms of prostate,Frequent urination
Temporary or benign blood in urine,Blood in urine,Sharp abdominal pain,Side pain,Painful urination
Kidney disease due to longstanding hypertension,Shortness of breath,Symptoms of the kidneys,Difficulty speaking,Incontinence of stool
Chondromalacia of the patella,Knee pain,Leg pain,Knee swelling,Knee stiffness or tightness
Onychomycosis,Skin rash,Irregular appearing nails,Foot or toe pain,Abnormal appearing skin
Urethral disorder,Painful urination,Involuntary urination,Retention of urine,Frequent urination
Lyme disease,Fever,Skin rash,Headache,Fatigue
Iron deficiency anemia,Fatigue,Weakness,Dizziness,Heavy menstrual flow
Acute respiratory distress syndrome (ARDS),Shortness of breath,Difficulty breathing,Cough,Sharp chest pain
Toxic multinodular goiter,Fatigue,Abnormal involuntary movements,Double vision,Sweating
Open wound of the finger,Hand or finger pain,Hand or finger swelling,Skin on arm or hand looks infected,Hand or finger stiffness or tightness
Autonomic nervous system disorder,Leg pain,Loss of sensation,Headache,Skin lesion
Psychosexual disorder,Impotence,Premature ejaculation,Loss of sex drive,Depression
Anemia,Fatigue,Weakness,Dizziness,Shortness of breath
Tendinitis,Hip pain,Shoulder pain,Knee pain,Wrist pain
Common cold,Cough,Sore throat,Fever,Nasal congestion
Amyotrophic lateral sclerosis (ALS),Weakness,Leg weakness,Difficulty speaking,Problems with movement
Central retinal artery or vein occlusion,Diminished vision,Blindness,Spots or clouds in vision,Symptoms of eye
Paroxysmal supraventricular tachycardia,Palpitations,Sharp chest pain,Increased heart rate,Irregular heartbeat
Venous insufficiency,Skin lesion,Leg swelling,Leg pain,Peripheral edema
Trichomonas infection,Vaginal discharge,Sharp abdominal pain,Vomiting,Pelvic pain
Acne,Acne or pimples,Skin rash,Abnormal appearing skin,Skin moles
Depression,Depression,Depressive or psychotic symptoms,Anxiety and nervousness,Insomnia
Drug abuse,Drug abuse,Depressive or psychotic symptoms,Depression,Abusing alcohol
Urinary tract obstruction,Retention of urine,Blood in urine,Side pain,Frequent urination
Diabetes insipidus,Excessive appetite,Cough,Difficulty in swallowing,Frequent urination
Iridocyclitis,Pain in eye,Diminished vision,Eye redness,Headache
Varicocele of the testicles,Pain in testicles,Mass in scrotum,Symptoms of the scrotum and testes,Groin pain
Irritable bowel syndrome,Sharp abdominal pain,Diarrhea,Burning abdominal pain,Constipation
Fracture of the foot,Foot or toe pain,Ankle pain,Foot or toe swelling,Ankle swelling
Ovarian cyst,Sharp abdominal pain,Lower abdominal pain,Pelvic pain,Vomiting
Chlamydia,Penile discharge,Vaginal discharge,Sharp abdominal pain,Painful urination
Parasitic disease,Sharp abdominal pain,Skin rash,Cough,Fever
Fracture of the jaw,Facial pain,Peripheral edema,Jaw swelling,Mouth pain
Cytomegalovirus infection,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Lipoma,Skin swelling,Back mass or lump,Arm lump or mass,Neck mass
Female genitalia infection,Vaginal pain,Vulvar irritation,Skin lesion,Fever
Pulmonary hypertension,Shortness of breath,Difficulty breathing,Fatigue,Sharp chest pain
Thyroid nodule,Difficulty in swallowing,Fatigue,Neck mass,Throat feels tight
Broken tooth,Toothache,Facial pain,Gum pain,Lip swelling
Dumping syndrome,Nausea,Vomiting,Fatigue,Upper abdominal pain
Lymphadenitis,Sore throat,Fever,Sharp abdominal pain,Swollen lymph nodes
Injury to the face,Neck pain,Headache,Facial pain,Ear pain
Aortic valve disease,Shortness of breath,Fatigue,Sharp chest pain,Difficulty breathing
Rheumatoid arthritis,Joint pain,Knee pain,Ache all over,Hand or finger pain
Spermatocele,Pain in testicles,Mass in scrotum,Swelling of scrotum,Retention of urine
Impetigo,Skin rash,Skin lesion,Fever,Abnormal appearing skin
Anal fistula,Pain of the anus,Sharp abdominal pain,Blood in stool,Rectal bleeding
Hypothermia,Depressive or psychotic symptoms,Weakness,Leg stiffness or tightness,Skin rash
Oppositional disorder,Depressive or psychotic symptoms,Excessive anger,Hostile behavior,Restlessness
Migraine,Headache,Nausea,Vomiting,Dizziness
Diabetic peripheral neuropathy,Skin lesion,Foot or toe pain,Loss of sensation,Leg pain
Testicular disorder,Impotence,Fatigue,Loss of sex drive,Symptoms of prostate
Gestational diabetes,Problems during pregnancy,Pain during pregnancy,Uterine contractions,Pelvic pressure
